Sentence Number,Word Count,Common Word Count,Uncommon Word Count,Uncommon Length Ratio,Uncommon Common Ratio,Article Position,Uncommon Score
28,25,8,16,0.64,2.0,56.00000000000001,42
47,29,12,17,0.5862068965517241,1.4166666666666667,94.0,37
26,27,10,16,0.5925925925925926,1.6,52.0,37
9,19,7,12,0.631578947368421,1.7142857142857142,18.0,34
11,24,8,15,0.625,1.875,22.0,33
39,27,9,18,0.6666666666666666,2.0,78.0,32
33,17,6,10,0.5882352941176471,1.6666666666666667,66.0,32
40,19,9,9,0.47368421052631576,1.0,80.0,28
20,25,10,14,0.56,1.4,40.0,28
27,23,8,15,0.6521739130434783,1.875,54.0,27
45,24,10,13,0.5416666666666666,1.3,90.0,26
21,17,7,9,0.5294117647058824,1.2857142857142858,42.0,26
42,18,5,12,0.6666666666666666,2.4,84.0,25
4,21,11,10,0.47619047619047616,0.9090909090909091,8.0,25
23,13,6,6,0.46153846153846156,1.0,46.0,24
24,19,10,8,0.42105263157894735,0.8,48.0,23
10,20,7,13,0.65,1.8571428571428572,20.0,23
46,16,6,9,0.5625,1.5,92.0,21
30,28,15,11,0.39285714285714285,0.7333333333333333,60.0,21
38,25,9,15,0.6,1.6666666666666667,76.0,20
16,17,8,8,0.47058823529411764,1.0,32.0,20
7,26,12,14,0.5384615384615384,1.1666666666666667,14.000000000000002,20
17,16,6,9,0.5625,1.5,34.0,19
14,22,9,12,0.5454545454545454,1.3333333333333333,28.000000000000004,19
8,15,5,9,0.6,1.8,16.0,19
1,19,9,10,0.5263157894736842,1.1111111111111112,2.0,19
2,13,4,8,0.6153846153846154,2.0,4.0,18
29,9,3,6,0.6666666666666666,2.0,57.99999999999999,16
5,17,5,11,0.6470588235294118,2.2,10.0,16
32,18,8,10,0.5555555555555556,1.25,64.0,15
12,5,0,5,1.0,5.0,24.0,15
25,11,4,6,0.5454545454545454,1.5,50.0,13
35,16,7,8,0.5,1.1428571428571428,70.0,12
31,17,11,4,0.23529411764705882,0.36363636363636365,62.0,12
3,17,8,7,0.4117647058823529,0.875,6.0,12
48,11,4,6,0.5454545454545454,1.5,96.0,9
44,17,9,7,0.4117647058823529,0.7777777777777778,88.0,9
19,8,3,4,0.5,1.3333333333333333,38.0,9
37,21,13,6,0.2857142857142857,0.46153846153846156,74.0,8
15,13,6,6,0.46153846153846156,1.0,30.0,7
36,9,4,3,0.3333333333333333,0.75,72.0,6
22,11,6,4,0.36363636363636365,0.6666666666666666,44.0,6
34,6,2,3,0.5,1.5,68.0,4
18,7,3,3,0.42857142857142855,1.0,36.0,4
13,9,5,3,0.3333333333333333,0.6,26.0,4
0,27,8,18,0.6666666666666666,2.25,0.0,51
5,22,7,15,0.6818181818181818,2.142857142857143,45.45454545454545,29
9,30,14,14,0.4666666666666667,1.0,81.81818181818183,28
2,17,6,11,0.6470588235294118,1.8333333333333333,18.181818181818183,28
3,23,9,14,0.6086956521739131,1.5555555555555556,27.27272727272727,27
4,36,17,18,0.5,1.0588235294117647,36.36363636363637,26
8,24,11,11,0.4583333333333333,1.0,72.72727272727273,25
1,16,6,10,0.625,1.6666666666666667,9.090909090909092,20
6,14,3,10,0.7142857142857143,3.3333333333333335,54.54545454545454,18
7,16,4,11,0.6875,2.75,63.63636363636363,17
10,19,8,9,0.47368421052631576,1.125,90.9090909090909,14
0,26,11,13,0.5,1.1818181818181819,0.0,36
10,40,21,19,0.475,0.9047619047619048,83.33333333333334,26
9,22,11,9,0.4090909090909091,0.8181818181818182,75.0,19
11,35,18,16,0.45714285714285713,0.8888888888888888,91.66666666666666,17
1,23,11,11,0.4782608695652174,1.0,8.333333333333332,17
8,7,1,5,0.7142857142857143,5.0,66.66666666666666,11
2,10,3,6,0.6,2.0,16.666666666666664,11
6,11,3,7,0.6363636363636364,2.3333333333333335,50.0,10
4,20,11,8,0.4,0.7272727272727273,33.33333333333333,8
5,15,8,6,0.4,0.75,41.66666666666667,7
3,8,4,3,0.375,0.75,25.0,7
7,9,4,4,0.4444444444444444,1.0,58.333333333333336,4
0,26,6,20,0.7692307692307693,3.3333333333333335,0.0,81
13,33,13,19,0.5757575757575758,1.4615384615384615,76.47058823529412,71
6,38,14,23,0.6052631578947368,1.6428571428571428,35.294117647058826,57
11,36,11,25,0.6944444444444444,2.272727272727273,64.70588235294117,55
5,26,8,17,0.6538461538461539,2.125,29.411764705882355,47
16,28,9,18,0.6428571428571429,2.0,94.11764705882352,35
12,32,20,11,0.34375,0.55,70.58823529411765,29
10,26,8,17,0.6538461538461539,2.125,58.82352941176471,29
8,29,15,14,0.4827586206896552,0.9333333333333333,47.05882352941176,26
14,30,13,16,0.5333333333333333,1.2307692307692308,82.35294117647058,23
9,27,10,16,0.5925925925925926,1.6,52.94117647058824,22
15,25,11,13,0.52,1.1818181818181819,88.23529411764706,21
1,23,10,12,0.5217391304347826,1.2,5.88235294117647,21
7,24,12,12,0.5,1.0,41.17647058823529,20
4,12,5,7,0.5833333333333334,1.4,23.52941176470588,10
3,7,3,4,0.5714285714285714,1.3333333333333333,17.647058823529413,5
2,13,7,5,0.38461538461538464,0.7142857142857143,11.76470588235294,5
0,29,9,19,0.6551724137931034,2.111111111111111,0.0,73
4,30,10,18,0.6,1.8,14.814814814814813,47
3,24,10,13,0.5416666666666666,1.3,11.11111111111111,46
13,42,16,24,0.5714285714285714,1.5,48.148148148148145,44
9,19,7,11,0.5789473684210527,1.5714285714285714,33.33333333333333,44
24,45,22,21,0.4666666666666667,0.9545454545454546,88.88888888888889,41
25,22,9,12,0.5454545454545454,1.3333333333333333,92.5925925925926,38
12,32,13,18,0.5625,1.3846153846153846,44.44444444444444,32
18,17,5,12,0.7058823529411765,2.4,66.66666666666666,29
17,21,8,11,0.5238095238095238,1.375,62.96296296296296,29
2,19,5,13,0.6842105263157895,2.6,7.4074074074074066,29
22,13,4,8,0.6153846153846154,2.0,81.48148148148148,27
10,14,5,7,0.5,1.4,37.03703703703704,27
16,10,1,8,0.8,8.0,59.25925925925925,23
20,29,12,15,0.5172413793103449,1.25,74.07407407407408,22
26,25,13,11,0.44,0.8461538461538461,96.29629629629629,18
21,15,6,8,0.5333333333333333,1.3333333333333333,77.77777777777779,14
11,15,7,7,0.4666666666666667,1.0,40.74074074074074,13
7,17,5,11,0.6470588235294118,2.2,25.925925925925924,13
23,22,12,8,0.36363636363636365,0.6666666666666666,85.18518518518519,12
14,15,6,7,0.4666666666666667,1.1666666666666667,51.85185185185185,11
15,9,3,5,0.5555555555555556,1.6666666666666667,55.55555555555556,10
5,10,3,6,0.6,2.0,18.51851851851852,10
1,8,4,3,0.375,0.75,3.7037037037037033,8
19,10,4,5,0.5,1.25,70.37037037037037,7
8,15,9,4,0.26666666666666666,0.4444444444444444,29.629629629629626,6
6,10,6,4,0.4,0.6666666666666666,22.22222222222222,4
3,44,14,29,0.6590909090909091,2.0714285714285716,9.090909090909092,75
21,35,11,24,0.6857142857142857,2.1818181818181817,63.63636363636363,62
4,44,14,28,0.6363636363636364,2.0,12.121212121212121,56
5,19,4,14,0.7368421052631579,3.5,15.151515151515152,48
7,20,3,17,0.85,5.666666666666667,21.21212121212121,47
